user_id,department,user_role,location,login_hour,login_duration,accessed_sensitive_files,file_download_mb,external_device_access,failed_logins,vpn_usage,is_admin,number_of_devices_used,suspicious_ip_flag,weekend_activity,days_since_last_password_change,is_anomaly
9284,HR,Manager,London,9,7.12,0,1313,1,0,1,0,9,0,1,164,0
4131,HR,Manager,New York,8,3.59,15,1779,0,6,0,1,6,1,1,179,1
3377,Sales,Engineer,Berlin,22,0.55,6,4355,0,5,0,0,8,1,1,39,1
8175,HR,Support,Berlin,23,3.39,7,1294,1,6,0,1,9,0,1,84,0
9346,Finance,Executive,Sydney,2,7.92,20,2471,1,4,0,1,4,1,0,149,1
6044,Marketing,Executive,Bangalore,13,2.41,6,3810,0,6,0,0,9,0,0,2,0
8486,Sales,Manager,Sydney,14,9.15,14,3414,0,2,1,0,1,0,1,109,0
3832,Finance,Support,Toronto,9,7.64,1,3879,0,6,0,1,9,0,0,147,0
6805,Operations,Manager,Bangalore,13,8.6,20,3602,1,1,1,1,10,1,0,158,1
4832,HR,Engineer,New York,14,8.77,6,57,0,7,1,0,4,1,1,140,1
1122,Operations,Analyst,Sydney,22,3.89,6,2962,1,0,1,1,3,0,0,7,0
4645,HR,Engineer,Berlin,17,8.92,20,2545,0,6,1,0,7,0,0,179,0
3184,Operations,Analyst,London,18,6.34,5,3775,0,3,1,1,7,0,0,157,0
9342,HR,Engineer,London,19,0.57,3,259,0,5,0,0,9,1,1,95,1
3929,Finance,Support,Berlin,19,9.96,3,3067,1,0,1,1,5,0,1,1,0
2986,Operations,Executive,New York,19,7.06,18,3913,1,2,0,0,5,1,1,116,0
3803,IT,Analyst,Sydney,10,0.88,12,5144,1,0,1,1,2,1,0,146,0
5682,Sales,Executive,New York,3,0.97,5,5245,0,4,1,0,6,1,1,114,1
8232,IT,Manager,London,1,9.53,9,227,0,2,0,1,9,1,1,25,1
2713,Operations,Manager,Toronto,1,0.46,3,770,0,5,1,0,8,0,0,133,0
9074,HR,Support,New York,18,2.62,1,1385,1,1,0,1,2,1,1,175,0
3413,HR,Executive,New York,0,0.68,11,4348,1,4,1,1,7,0,0,165,1
9733,IT,Engineer,Sydney,17,1.6,16,4501,0,3,0,0,2,1,1,113,1
2862,IT,Analyst,New York,3,6.44,3,4409,0,5,0,1,5,0,0,157,1
8967,HR,Executive,Berlin,3,6.7,6,2244,0,5,0,1,7,1,0,8,1
6286,Finance,Support,Toronto,7,6.15,15,255,1,3,1,0,4,0,0,180,0
3299,Marketing,Engineer,London,13,5.06,4,3746,0,6,1,0,7,0,1,109,0
3366,HR,Engineer,Sydney,8,8.21,3,1862,0,7,1,1,4,0,0,40,0
8600,Operations,Analyst,London,20,7.37,19,4931,1,7,0,0,8,0,0,84,0
2705,Sales,Executive,New York,16,6.4,2,5173,0,7,1,0,8,0,0,46,0
1560,IT,Manager,Berlin,21,0.76,3,3701,1,3,0,1,8,0,0,83,0
5490,IT,Analyst,Bangalore,17,2.28,20,1332,0,5,1,0,8,1,1,18,1
5620,Sales,Engineer,Sydney,21,5.71,11,3105,1,4,0,1,8,0,0,165,0
8381,Marketing,Analyst,Sydney,2,7.28,1,5097,0,6,0,0,3,0,1,87,1
7555,HR,Manager,Bangalore,8,0.47,20,4895,0,4,1,0,7,1,0,15,1
7609,IT,Engineer,New York,20,2.47,9,5043,0,3,0,1,6,0,0,12,0
5720,Finance,Manager,Sydney,1,7.14,11,2037,0,1,0,1,3,1,1,98,0
7289,Sales,Analyst,London,1,3.97,5,2779,1,2,0,0,5,0,1,165,0
7887,Sales,Executive,Toronto,21,1.16,16,5319,1,3,1,0,9,0,0,16,0
2099,Sales,Engineer,Sydney,10,5.84,2,532,1,0,0,1,7,1,0,114,1
1045,HR,Support,New York,16,6.18,19,1629,1,7,1,0,3,0,1,0,0
5948,Sales,Executive,Berlin,14,6.62,16,5828,1,1,1,1,10,0,1,18,0
9026,Finance,Executive,New York,6,2.83,15,839,0,7,0,1,4,0,0,52,0
1664,Sales,Executive,Toronto,9,2.21,10,5236,1,0,1,1,1,1,0,65,0
5230,Operations,Engineer,Toronto,11,7.04,13,5560,1,4,0,0,10,1,1,82,1
2434,IT,Analyst,New York,23,6.86,11,2029,0,6,0,0,7,1,0,75,1
6940,Finance,Executive,Toronto,19,7.38,11,4858,0,0,0,1,5,1,0,122,0
5762,Finance,Manager,London,21,8.07,15,321,1,3,1,1,4,1,1,56,0
6783,IT,Support,Toronto,15,10,20,4607,0,1,1,1,6,0,1,79,1
7713,Finance,Engineer,New York,20,1.09,10,2539,0,7,0,1,9,1,1,25,1
5759,HR,Analyst,Bangalore,12,1.2,2,4019,0,4,0,1,2,0,0,99,0
2042,IT,Executive,London,1,4.82,9,3978,0,6,0,0,9,1,1,56,1
5386,Operations,Executive,Sydney,11,3.91,4,4287,1,3,0,0,2,1,1,6,0
5870,HR,Engineer,London,18,9.18,15,2292,1,3,1,0,8,0,0,12,0
5712,IT,Support,New York,7,2.71,9,1290,0,3,1,1,7,1,0,100,1
9588,HR,Support,Toronto,17,4.34,2,521,0,1,0,1,2,0,1,2,0
8108,IT,Analyst,New York,20,3.46,16,2925,0,4,1,1,9,0,0,23,0
3216,Finance,Support,Sydney,20,8.43,0,2375,1,1,0,0,9,0,0,66,0
9516,Marketing,Executive,Bangalore,19,9.98,18,4300,1,2,1,0,10,1,0,69,1
3952,Finance,Support,Sydney,12,7.46,18,1266,0,2,0,0,5,1,1,99,0
2047,Operations,Executive,Berlin,9,2.09,11,5621,0,6,0,0,5,1,1,138,1
9914,Sales,Analyst,New York,2,8.43,2,807,0,6,0,1,9,0,0,28,0
2587,Sales,Engineer,Bangalore,16,2.59,14,5123,0,4,0,0,5,0,0,147,0
4762,HR,Manager,London,10,3.21,2,1267,1,2,0,0,1,1,1,98,0
2418,Marketing,Analyst,London,22,6.05,19,4118,1,5,0,1,6,0,1,99,0
5583,IT,Manager,New York,5,7.3,18,3275,0,5,0,0,3,0,1,107,0
5739,Finance,Executive,Berlin,6,9.68,11,1342,0,2,1,1,9,1,0,79,1
7831,Operations,Executive,Berlin,14,5,14,3465,0,6,1,0,5,0,1,160,0
4887,Marketing,Analyst,Berlin,7,5.73,13,4795,1,3,1,0,6,0,0,127,0
6393,Marketing,Support,London,7,7.58,2,5297,0,3,1,0,7,1,1,166,1
9932,HR,Executive,Sydney,3,6.34,11,568,1,0,1,0,2,1,0,172,0
5410,Sales,Manager,Sydney,3,6.29,17,4432,0,1,1,0,10,1,0,135,1
9793,Marketing,Engineer,London,9,9.78,6,3622,1,6,1,1,8,0,0,61,0
2516,HR,Support,London,7,9.66,9,3096,0,6,0,0,6,1,0,140,1
9883,HR,Analyst,Berlin,0,4.13,12,4041,1,3,1,1,2,0,1,2,1
7705,Sales,Analyst,New York,18,9.98,1,5529,1,1,0,0,3,0,0,152,0
5555,IT,Analyst,Toronto,8,1.91,19,5571,1,7,0,0,4,0,0,154,0
9057,Marketing,Executive,New York,23,1.63,17,48,1,4,1,1,10,0,1,130,1
3885,HR,Analyst,London,16,7.17,5,4657,0,1,1,1,2,0,1,177,0
6684,Finance,Analyst,Sydney,8,8.68,7,1713,0,1,0,1,1,0,0,179,0
2287,Sales,Engineer,New York,20,7.04,11,1721,0,2,0,1,10,1,1,135,1
2593,Sales,Engineer,New York,17,3.73,0,4442,0,6,0,0,7,1,0,73,1
8764,HR,Executive,Toronto,1,7.83,17,5773,0,1,1,0,8,0,0,89,1
6855,Finance,Engineer,Sydney,18,4.22,11,734,1,7,0,0,7,0,0,154,0
9651,Operations,Manager,Toronto,0,6.52,7,2792,0,3,0,0,1,0,0,33,0
6405,Sales,Engineer,Berlin,2,1.98,3,4305,0,0,1,0,8,1,0,23,1
5377,HR,Executive,London,4,8.69,0,4959,1,3,1,0,2,0,1,0,1
7966,IT,Analyst,London,8,1.93,13,2183,1,5,1,1,3,1,1,175,1
2450,HR,Analyst,Toronto,10,0.49,12,1414,1,5,0,1,10,0,1,38,0
2974,HR,Support,Berlin,8,1.26,12,269,0,5,1,1,5,0,0,131,0
7307,Operations,Executive,New York,19,3.11,5,2006,0,5,0,1,8,0,0,131,0
2609,IT,Support,London,3,8.34,1,1441,0,1,0,1,3,0,0,83,0
8380,Sales,Engineer,Berlin,10,4,14,801,1,2,1,1,3,1,0,140,0
9528,HR,Engineer,Bangalore,17,9.47,16,2204,0,2,1,0,9,0,0,116,0
3078,Finance,Executive,New York,20,2.35,5,3908,1,1,1,1,3,1,1,146,0
1737,HR,Executive,New York,4,9.81,14,3385,1,2,1,1,2,1,0,122,0
5738,Operations,Engineer,Berlin,4,6.48,10,4873,0,6,1,0,7,0,1,13,1
1094,HR,Support,Berlin,15,5.04,20,4706,0,5,0,0,3,1,1,148,1
1832,Sales,Executive,New York,2,4,3,1375,0,1,1,1,5,0,1,141,0
6842,Finance,Engineer,Toronto,19,9.06,20,4502,0,2,0,0,7,0,0,25,0
6285,Finance,Support,Berlin,15,2.32,1,2695,1,1,1,1,10,0,1,32,0
6433,Finance,Support,Bangalore,0,0.58,18,47,1,5,1,0,1,1,0,138,1
1317,Sales,Analyst,Toronto,9,7.24,20,5201,0,5,0,0,1,1,1,169,1
8275,Operations,Manager,New York,5,9.16,0,2671,0,7,0,0,5,1,1,44,1
7950,Finance,Support,Berlin,14,4.96,7,5529,0,3,0,0,3,1,0,49,1
6698,Sales,Manager,Berlin,7,4.64,11,1651,1,0,1,0,6,0,0,31,0
5241,Finance,Engineer,Sydney,19,5.19,19,2858,0,1,1,1,2,0,0,90,0
6773,IT,Support,Berlin,3,9.21,15,598,0,2,0,0,7,0,0,40,0
7587,Marketing,Support,Toronto,17,8.66,11,4170,1,7,0,1,4,0,1,157,0
4521,Finance,Executive,New York,18,1.08,19,386,0,2,0,1,9,0,0,165,0
8065,Sales,Analyst,Berlin,4,9.77,14,1648,0,0,0,1,3,1,0,75,0
6931,Marketing,Manager,Toronto,2,5.62,3,4304,0,0,1,0,5,1,0,62,1
3754,Marketing,Manager,Toronto,9,5.94,7,3610,1,3,0,0,8,1,1,17,1
9800,IT,Analyst,Bangalore,18,9.77,8,1213,0,7,1,0,5,0,1,17,0
6738,HR,Analyst,Toronto,2,3.64,1,4634,0,5,0,1,5,0,0,132,1
5943,HR,Engineer,Bangalore,18,8.72,17,4431,1,6,1,0,2,1,1,97,1
9862,HR,Analyst,Sydney,14,5.37,1,2690,1,0,0,1,8,0,0,13,0
7232,IT,Analyst,London,12,2.43,7,5493,1,2,1,1,10,1,0,73,1
9857,HR,Manager,Bangalore,17,2.54,18,2537,0,0,1,0,6,1,1,156,1
1316,Finance,Engineer,Sydney,4,4.95,9,5820,1,1,0,1,7,1,0,93,1
3840,IT,Engineer,Bangalore,3,1.87,0,3737,1,2,0,0,1,1,0,140,0
2229,Sales,Engineer,London,18,4.85,7,3372,0,6,0,1,9,0,1,26,0
9873,Finance,Manager,Sydney,16,9.91,13,2433,1,7,1,1,3,0,1,10,0
1711,IT,Analyst,Sydney,22,4.73,6,4633,0,5,1,1,10,0,1,170,0
8177,HR,Analyst,London,10,1.97,12,5731,1,5,1,0,6,1,0,132,1
1320,Sales,Support,Sydney,9,2.73,18,2252,1,3,1,0,8,1,1,129,1
2202,Marketing,Analyst,Sydney,17,8.85,11,911,1,4,0,1,6,0,1,139,0
4069,Sales,Engineer,Sydney,17,5.55,19,3283,0,1,0,1,1,1,1,5,0
9735,Operations,Engineer,Sydney,11,8.16,18,3607,0,5,0,1,2,1,1,142,1
2113,HR,Executive,London,13,8.48,11,3409,1,3,0,0,6,0,1,5,0
6508,Sales,Manager,Sydney,7,6.5,8,2249,1,6,0,1,7,0,0,116,0
9240,Sales,Support,New York,22,4.42,13,5669,1,7,0,1,8,1,1,100,1
6167,Operations,Support,Berlin,8,6.75,12,1728,1,7,0,1,6,1,0,124,1
4824,IT,Manager,Berlin,5,2.89,19,171,1,5,0,1,9,0,0,105,0
6887,Marketing,Executive,Sydney,0,6.74,1,632,1,5,0,1,9,1,1,115,1
5996,Sales,Analyst,Toronto,8,4.96,5,3096,1,5,1,1,4,0,1,92,0
9130,IT,Analyst,Berlin,6,3.45,11,4729,0,3,1,1,4,1,1,16,0
9956,Finance,Support,London,5,8.42,4,4346,0,4,0,1,2,1,1,36,1
7187,HR,Analyst,Sydney,17,5.42,17,1084,0,4,1,1,4,1,1,117,1
6196,Finance,Engineer,Berlin,3,2.47,2,2765,1,2,1,1,10,0,1,120,0
3123,Operations,Manager,New York,22,2.6,16,601,1,6,1,1,8,1,0,174,1
5858,IT,Analyst,New York,21,3.97,12,1268,1,6,0,0,6,1,1,84,1
7069,IT,Executive,Bangalore,14,6.65,5,1616,1,5,1,1,7,1,1,115,1
8361,HR,Engineer,London,13,8.34,9,2407,0,4,1,0,7,0,0,142,0
6859,Operations,Executive,Sydney,10,7.32,9,4582,0,6,1,0,5,1,1,2,1
2311,Sales,Analyst,New York,15,7.74,18,589,0,6,0,1,4,0,0,163,0
1647,IT,Executive,London,10,1.83,13,1624,0,0,0,1,4,1,1,72,0
3626,Sales,Manager,Berlin,18,8.52,17,3999,1,0,1,0,2,1,1,40,1
4297,HR,Manager,Sydney,8,6.92,5,3117,1,1,1,0,6,0,0,87,0
1370,IT,Engineer,Toronto,19,5.55,19,3490,0,4,1,0,4,1,1,114,1
1493,Sales,Engineer,London,19,8.52,15,328,0,6,0,0,10,0,1,144,0
5945,Sales,Analyst,Toronto,11,8.6,13,5711,0,2,0,0,10,1,0,9,1
3502,Finance,Analyst,London,9,6.55,16,786,0,6,0,0,9,0,1,10,0
5373,Sales,Manager,New York,14,5.53,12,5531,0,0,1,1,10,1,1,78,1
8287,Sales,Manager,Berlin,14,9.02,0,4428,1,4,1,0,9,0,1,156,0
6339,Finance,Engineer,Sydney,1,1.18,17,583,1,3,0,0,6,0,0,69,0
6278,Operations,Support,London,20,5.63,5,2804,1,3,0,0,10,0,0,36,0
3074,Sales,Executive,New York,23,7.74,0,3814,1,5,0,0,1,0,1,169,1
3111,Sales,Executive,New York,7,7.16,8,4491,0,2,1,0,1,0,0,65,0
5314,Sales,Support,Toronto,4,2.93,0,4294,1,1,0,1,5,0,1,78,1
3725,HR,Support,Berlin,11,1.54,20,4923,1,2,1,0,10,0,0,33,0
6099,HR,Executive,Sydney,5,0.83,19,2806,1,0,0,1,5,1,1,133,0
7095,Marketing,Engineer,Sydney,21,0.88,4,1279,0,1,0,1,1,0,1,82,0
4267,Finance,Analyst,London,3,4.25,18,2211,1,4,0,0,3,0,0,148,0
4082,Finance,Manager,Berlin,8,4.53,14,5146,1,2,0,0,9,0,1,6,0
2826,Sales,Analyst,Toronto,17,8.88,18,22,0,6,1,0,9,0,0,41,0
5986,IT,Executive,London,1,4.39,3,3602,0,2,0,0,8,1,1,128,1
1665,Operations,Support,New York,2,7.96,2,805,0,7,0,1,8,0,0,82,0
8285,Finance,Support,Berlin,3,9.1,7,1891,0,1,0,0,1,0,1,104,0
3116,Sales,Engineer,New York,22,7.55,16,1035,1,6,0,1,8,1,0,155,1
1720,Operations,Executive,London,20,9.76,19,5006,0,0,0,0,3,0,1,16,0
6749,Finance,Analyst,New York,13,5.12,12,2181,1,7,1,0,5,0,1,36,0
6401,Operations,Support,New York,12,3.12,2,5537,0,4,1,0,6,0,0,120,0
2463,Finance,Manager,London,3,7,17,5364,1,5,0,0,9,0,0,50,1
6002,IT,Analyst,Toronto,12,6.25,1,690,1,7,0,1,4,1,0,95,1
5318,Marketing,Support,New York,13,2.42,17,1181,0,6,1,1,4,0,0,150,0
3646,IT,Executive,Bangalore,22,5.07,14,1579,1,0,0,1,3,1,1,56,0
2570,Sales,Support,Toronto,6,8.86,4,2607,1,0,1,0,7,0,1,13,1
3157,HR,Engineer,New York,16,3.72,9,4556,1,5,1,1,2,1,0,50,1
8244,Sales,Analyst,New York,2,6.82,6,5032,1,1,0,0,5,1,1,137,1
7570,Sales,Executive,Sydney,20,1.94,12,1576,0,2,1,0,10,1,0,56,1
7053,Sales,Analyst,Bangalore,12,7.66,16,2081,1,7,0,1,2,0,0,151,0
2271,Finance,Manager,New York,14,5.75,13,4198,0,5,1,0,2,1,0,45,1
2788,Finance,Analyst,London,4,8.18,16,4019,1,0,1,1,4,1,1,77,1
7323,Finance,Analyst,Sydney,0,2.7,18,2415,0,5,0,1,6,1,1,173,1
2079,IT,Analyst,Berlin,12,8.08,3,3754,1,2,1,0,6,0,0,107,0
5578,Sales,Support,Toronto,18,9.37,7,2535,1,3,0,1,10,1,1,69,1
7612,Finance,Support,London,4,1.08,2,1316,0,7,1,0,1,0,0,39,0
6898,HR,Support,Bangalore,8,5.62,1,71,1,3,0,0,7,0,0,42,0
9828,Marketing,Engineer,Bangalore,9,9.15,2,5131,1,1,0,0,5,1,1,85,0
3262,IT,Analyst,Berlin,11,2.53,2,1807,1,5,1,0,6,0,0,171,0
3853,HR,Engineer,Bangalore,14,6.34,15,3062,0,7,0,0,10,0,0,154,0
9579,IT,Manager,Sydney,1,3.37,16,3539,0,2,1,1,10,1,1,144,1
5245,Finance,Support,Bangalore,17,3.65,13,2082,0,5,0,0,3,1,0,150,1
2076,Finance,Engineer,Toronto,7,4.39,16,1807,1,7,1,0,1,0,1,6,0
6656,HR,Manager,Berlin,19,2.68,14,1356,1,1,0,1,2,1,0,145,0
7823,Sales,Support,London,18,9.83,6,171,1,3,1,0,9,1,1,136,1
9462,Finance,Manager,Toronto,9,4.21,13,2284,1,1,0,0,5,1,1,139,0
5311,Sales,Analyst,Sydney,3,9.1,0,4100,1,3,1,1,1,1,1,17,1
9091,IT,Executive,Berlin,5,6.89,17,285,1,6,1,0,7,1,1,44,1
2691,IT,Support,Toronto,11,9.42,9,5924,1,4,1,0,4,1,0,39,1
9713,Marketing,Executive,London,17,6.54,13,5051,1,5,1,0,3,0,0,80,0
7957,Sales,Engineer,Toronto,1,7.49,7,842,1,4,0,1,5,1,0,77,1
1710,Operations,Executive,New York,23,6.76,0,4642,1,3,1,1,6,0,1,34,0
1157,Operations,Executive,Bangalore,2,1.37,5,5256,1,7,1,1,1,0,1,60,1
3603,Finance,Executive,London,16,7.34,0,5858,1,2,0,1,5,1,1,31,0
9347,HR,Support,London,17,5.99,15,4876,0,1,0,1,3,1,0,33,0
6289,Operations,Executive,Berlin,18,8.44,9,987,1,6,1,1,4,0,0,138,0
7472,Marketing,Engineer,Bangalore,7,2.55,2,59,0,5,1,1,7,0,1,88,0
2313,IT,Support,Berlin,17,2.36,15,3521,1,2,1,1,6,1,0,156,1
7256,Sales,Executive,Bangalore,16,7.92,1,5711,1,3,0,1,3,1,1,88,0
8777,HR,Support,Toronto,11,8.15,11,3947,0,2,1,1,6,0,1,177,0
2433,IT,Analyst,Bangalore,6,9.88,5,1283,1,6,1,0,4,1,0,125,1
5380,Operations,Manager,New York,1,5.08,14,4456,1,6,0,0,7,0,1,20,1
4354,HR,Manager,Berlin,6,6.94,6,5175,1,0,0,1,9,0,0,111,0
6228,Marketing,Support,Berlin,20,3.53,18,3554,1,7,1,0,5,0,1,93,0
6993,Marketing,Engineer,Berlin,12,4.59,20,1139,1,2,1,1,1,1,1,163,0
6477,Marketing,Manager,New York,13,2.71,2,4164,0,5,1,1,2,0,0,49,0
5817,Finance,Analyst,Sydney,2,5.5,19,936,0,2,1,1,1,1,0,98,1
1471,Marketing,Analyst,Sydney,11,7.22,11,590,0,7,0,0,1,1,1,65,1
9571,IT,Support,New York,7,1.69,16,2489,1,4,0,0,2,1,0,33,1
3678,HR,Manager,Bangalore,19,2.99,20,5055,0,7,1,1,8,0,1,126,0
5126,Finance,Manager,New York,16,5.45,6,410,0,0,1,1,1,1,0,57,0
5054,Sales,Engineer,London,11,4.4,8,5274,0,1,0,0,10,0,0,15,0
1730,HR,Analyst,Berlin,1,4.28,17,4937,0,7,0,0,1,1,1,146,1
7011,Operations,Support,London,16,0.95,2,165,1,3,1,0,4,1,1,120,0
8923,Finance,Engineer,London,4,8.26,11,2984,1,6,0,0,7,0,0,158,0
2260,Operations,Engineer,Toronto,9,2,19,959,1,4,1,1,10,0,1,29,0
1649,Finance,Executive,London,4,2.81,7,5315,0,0,0,0,2,1,0,62,1
8977,Marketing,Support,Toronto,8,2.87,16,553,1,1,1,1,6,0,1,175,0
2553,Sales,Manager,Berlin,18,2.13,8,1621,0,7,1,0,7,0,0,139,0
5897,Finance,Analyst,Bangalore,4,8.45,16,4702,1,0,0,0,5,0,1,89,1
2301,Sales,Manager,Sydney,12,1.91,4,2499,0,5,0,0,10,1,0,157,1
3468,Finance,Analyst,Berlin,15,6.6,11,2959,1,6,0,1,1,0,1,73,0
6969,HR,Executive,Toronto,12,7.75,9,939,0,2,0,1,1,1,1,167,0
9230,IT,Analyst,London,19,9.62,4,1692,1,0,1,1,10,1,0,150,1
8861,Marketing,Executive,Berlin,20,9.54,17,4619,0,3,0,1,10,0,0,93,0
8098,HR,Support,Sydney,9,5.02,17,2381,1,0,0,0,4,0,0,71,0
2019,Operations,Support,Berlin,18,8.13,19,4987,1,4,1,0,7,0,1,99,0
3184,Sales,Executive,London,2,1.12,13,319,0,7,1,0,5,1,0,96,1
1224,Operations,Executive,Bangalore,4,5.3,20,2322,0,2,0,1,2,0,1,66,0
8540,IT,Support,Toronto,9,8.52,10,3185,0,2,1,0,5,0,0,96,0
1882,HR,Analyst,New York,18,5.08,13,3237,1,6,0,0,4,1,0,101,1
5004,Marketing,Executive,New York,21,4.23,0,2519,0,0,0,0,1,0,0,71,0
2079,Sales,Manager,Toronto,4,3.58,17,5963,0,1,0,0,3,0,0,137,1
9358,Operations,Analyst,Berlin,9,2.99,8,2004,1,0,0,1,1,0,0,27,0
6145,IT,Engineer,Toronto,1,4.31,13,5728,1,0,1,1,2,0,0,112,1
2029,Sales,Analyst,Bangalore,11,6.35,13,5855,1,3,1,0,3,0,0,7,0
1548,Marketing,Analyst,New York,6,5.56,18,3097,0,1,0,1,4,0,1,20,0
5035,Finance,Engineer,Toronto,22,8.55,11,4576,1,2,0,1,1,1,1,93,0
6441,IT,Executive,London,12,8.9,10,129,0,4,0,0,4,0,1,5,1
3856,HR,Analyst,Berlin,17,1.26,17,1565,1,6,0,1,8,1,1,28,1
4128,Marketing,Manager,New York,14,9.98,11,1182,1,3,0,1,8,0,0,0,0
3541,Sales,Manager,Sydney,22,9.75,3,5389,0,2,0,1,1,1,0,162,0
9466,Marketing,Manager,Bangalore,23,9.25,16,5334,1,2,1,0,5,0,1,29,0
6160,Sales,Engineer,Toronto,1,1.6,13,4550,0,4,1,1,6,0,1,41,1
1872,IT,Manager,London,4,7.8,18,1581,0,7,0,1,10,0,0,67,0
1779,HR,Executive,London,13,5.74,1,2310,1,3,0,0,4,0,1,4,0
4305,Marketing,Support,Sydney,2,8.78,18,1779,1,3,1,0,9,0,0,164,0
6535,HR,Analyst,Bangalore,8,0.59,18,1651,0,0,1,1,8,1,0,63,1
9874,HR,Manager,Berlin,18,0.33,2,4868,1,5,1,1,8,1,1,151,1
3727,Marketing,Support,Bangalore,21,8.71,14,2816,0,2,0,0,2,1,0,174,0
4290,IT,Manager,Toronto,17,5.23,0,164,1,7,0,1,8,0,1,153,0
8652,IT,Support,London,7,8.62,5,3723,0,3,1,0,8,0,1,146,0
1403,HR,Executive,Berlin,17,7.05,18,2482,1,5,1,1,7,1,1,29,1
9327,IT,Analyst,Sydney,23,3.31,1,4147,0,5,0,0,1,0,1,132,0
7577,Operations,Engineer,Berlin,6,0.97,6,3459,0,0,0,0,5,0,0,113,0
8289,IT,Analyst,New York,18,6.24,14,4622,1,6,1,1,8,1,0,129,1
4819,IT,Executive,Toronto,6,7.9,8,5276,1,5,1,0,8,1,0,66,1
4720,HR,Support,New York,20,9.69,12,1848,1,5,1,0,2,1,1,79,1
6944,HR,Engineer,Berlin,3,8.92,12,672,1,7,1,0,3,0,1,137,0
2164,Sales,Manager,Sydney,8,6.63,9,1914,0,1,1,1,9,0,0,160,0
3608,IT,Support,Sydney,3,7.94,10,965,0,1,1,0,7,1,1,163,1
5841,Sales,Support,Berlin,5,7.19,2,3627,0,5,1,1,6,0,0,126,0
9839,HR,Support,London,5,2.57,10,3319,0,7,0,1,3,0,1,95,0
8711,IT,Executive,Sydney,14,2.92,19,5143,1,6,0,1,3,0,1,164,0
4155,Finance,Support,Bangalore,0,4.93,3,2489,1,5,0,0,7,0,1,111,1
6286,Finance,Analyst,Toronto,1,9.94,17,250,1,0,0,1,1,1,1,56,0
6520,Sales,Analyst,Toronto,16,0.28,8,5711,1,1,1,1,8,0,1,29,0
5072,Finance,Analyst,New York,20,8.05,0,2062,0,6,1,1,10,1,1,173,1
8237,Finance,Engineer,Sydney,5,7.05,10,255,1,0,1,1,3,1,0,80,0
2829,IT,Support,Sydney,0,7.02,10,4999,0,5,0,1,9,1,0,67,1
1937,Marketing,Engineer,London,6,1.6,8,3489,1,6,0,0,9,0,0,72,0
3195,HR,Support,Sydney,17,2.2,7,4960,1,7,1,1,6,1,1,116,1
9988,Operations,Manager,Toronto,21,0.45,11,2316,0,6,1,1,7,0,0,82,0
6871,Marketing,Support,Berlin,21,7.64,17,4052,1,7,1,0,6,0,0,146,0
5921,IT,Manager,New York,16,8.24,7,3594,1,4,1,1,3,1,0,2,1
7311,IT,Analyst,London,19,2.94,3,260,1,0,1,0,9,1,0,27,1
